"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN0749","Saforelle 100ml sol","","","Autre","Comprime","47000","0","Non","18"
"PN0750","Saforelle 200ml sol","","","Autre","Comprime","92000","0","Non","10"
"PN0751","Septivon sol","","","Autre","Comprime","0","0","Non","0"
"PN0752","Septyl BB","","","Autre","Comprime","45000","0","Non","2"
"PN0753","Aclin gel","","","Autre","Comprime","0","0","Non","0"
"PN0754","Algesal gel","","","Autre","Comprime","0","0","Non","0"
"PN0755","Aclogel gel","","","Autre","Comprime","0","0","Non","0"
"PN0756","Betadine gel","","","Autre","Comprime","0","0","Non","0"
"PN0757","Baneocin pde","","","Autre","Comprime","28000","0","Non","16"
"PN1473","Bronchodermine pde","","","Autre","Comprime","74000","0","Non","1"
"PN0759","Clobex cr","","","Autre","Comprime","28000","0","Non","2"
"PN0760","Cutacnyl 5% pde","","","Autre","Comprime","0","0","Non","0"
"PN0761","Cutacnyl 10% pde","","","Autre","Comprime","0","0","Non","0"
"PN0762","Clotri denk cr","","","Autre","Comprime","34000","0","Non","14"
"PN0763","Curapel pde","","","Autre","Comprime","0","0","Non","0"
"PN1474","Diclowal spray","","","Autre","Comprime","0","0","Non","0"
"PN1475","Dynapar 15ml spr","","","Autre","Comprime","52000","0","Non","3"
"PN0766","Dynapar gel","","","Autre","Comprime","25000","0","Non","2"
"PN0767","Dflex pde","","","Autre","Comprime","22000","0","Non","4"
"PN0768","Diprolene pde","","","Autre","Comprime","30000","0","Non","1"
"PN0769","Diprosalic pde","","","Autre","Comprime","50000","0","Non","2"
"PN1476","Diprosone pde","","","Autre","Comprime","53000","0","Non","2"
"PN1477","Diprosone cr","","","Autre","Comprime","0","0","Non","0"
"PN0772","Doulerex pde","","","Autre","Comprime","21000","0","Non","1"
"PN0773","Fusiderme pde","","","Autre","Comprime","0","0","Non","0"
"PN0774","Gencloben cr","","","Autre","Comprime","0","0","Non","0"
"PN0775","Ketoderm pde","","","Autre","Comprime","0","0","Non","0"
"PN0776","Ketocon cr","","","Autre","Comprime","19000","0","Non","3"
"PN0777","Hemorex kit","","","Autre","Comprime","65000","0","Non","2"
"PN1478","Litacold vapour","","","Autre","Comprime","33000","0","Non","1"
"PN0779","L-Mesitran 50g pde","","","Autre","Comprime","119000","0","Non","3"
"PN1479","L-Mesitran 15g pde","","","Autre","Comprime","42000","0","Non","1"
"PN0781","Locoid cr","","","Autre","Comprime","0","0","Non","0"
"PN0782","Micokin 2% cr","","","Autre","Comprime","10000","0","Non","5"
"PN0783","Micolex cr","","","Autre","Comprime","26000","0","Non","4"
"PN0784","Micolex 3 cr","","","Autre","Comprime","70000","0","Non","2"
"PN1480","Intimy gel lub","","","Autre","Comprime","74000","0","Non","3"
"PN0786","Coton Hydrophile 50g","","","Autre","Comprime","0","0","Non","0"
"PN0787","Coton Hydrophile 100g","","","Autre","Comprime","18000","0","Non","4"
"PN0788","Mycoster creme","","","Autre","Comprime","0","0","Non","0"
"PN1481","Dynapar Qps 30ml","","","Autre","Comprime","104000","0","Non","3"
"PN1482","Mycoster pdre","","","Autre","Comprime","68000","0","Non","2"
"PN0685","Onecef 1g inj","","","Autre","Comprime","0","0","Non","0"
"PN0686","Pyocef 1g inj","","","Autre","Comprime","23000","0","Non","25"
"PN0687","Sulbacef inf 1,5 g","","","Autre","Comprime","0","0","Non","0"
"PN0688","Synergon inj","","","Autre","Comprime","47000","0","Non","6"
"PN1483","Rocephin 1g inj IM","","","Autre","Comprime","0","0","Non","0"
"PN0690","Spasmo Apotel inj","","","Autre","Comprime","0","0","Non","0"
"PN0691","Spasfon inj","","","Autre","Comprime","0","0","Non","0"
"PN0692","Spasmosyl inj","","","Autre","Comprime","0","0","Non","0"
"PN0693","Triam-Denk inj","","","Autre","Comprime","23500","0","Non","46"
"PN0694","Trabar 100 inj","","","Autre","Comprime","15500","0","Non","39"
"PN0695","Vitamine B/12 inj","","","Autre","Comprime","0","0","Non","0"
"PN0696","Vogalene inj","","","Autre","Comprime","6000","0","Non","182"
"PN0697","Diclo 5 sup","","","Autre","Comprime","0","0","Non","0"
"PN0698","Diclowal sup","","","Autre","Comprime","0","0","Non","0"
"PN0699","Evamax ov","","","Autre","Comprime","47000","0","Non","2"
"PN0700","Flagyl ov","","","Autre","Comprime","0","0","Non","0"
"PN0701","Elle Test","","","Autre","Comprime","26000","0","Non","3"
"PN1484","Levo test","","","Autre","Comprime","0","0","Non","0"
"PN0703","Gencloben ov","","","Autre","Comprime","0","0","Non","0"
"PN0704","Gyflorine ov","","","Autre","Comprime","0","0","Non","0"
"PN0705","Gynofast ov","","","Autre","Comprime","45000","0","Non","5"
"PN0706","Gynanfort ov","","","Autre","Comprime","0","0","Non","0"
"PN0708","Gynospan sup","","","Autre","Comprime","43000","0","Non","3"
"PN0709","Gynomax B/6 ov","","","Autre","Comprime","45000","0","Non","1"
"PN0710","Gynomax B/12 ov","","","Autre","Comprime","86000","0","Non","5"
"PN0815","Bande ordinaire 15 cm","","","Autre","Comprime","4000","0","Non","160"
"PN0816","Bande ordinaire 10 cm","","","Autre","Comprime","3000","0","Non","177"
"PN1485","Gants steril 7.5 8","","","Autre","Comprime","10000","0","Non","88"
"PN0818","Compress Steril 40*40m","","","Autre","Comprime","2000","0","Non","40"
"PN1486","Elya Intime","","","Autre","Comprime","57000","0","Non","1"
"PN1487","X-Gain","","","Autre","Comprime","100000","0","Non","3"
"PN1488","Tramagen inj","","","Autre","Comprime","11000","0","Non","20"
"PN1489","Procomil spray","","","Autre","Comprime","143000","0","Non","3"
"PN1490","9-Vit inj","","","Autre","Comprime","30000","0","Non","2"
"PN1491","Colpotrophine ov","","","Autre","Comprime","99000","0","Non","1"
