"Code";"Nom";"DCI";"Marque";"Categorie";"Forme";"Prix Vente";"Prix Achat";"Ordonnance";"Quantite";"Peremption"
"";"Flex Nor cp";"";"";"";"";"";"0";"";"0";""
"";"Flucomyc cp 150 mg";"";"";"";"";"";"0";"";"0";""
"";"Fluxol cp";"";"";"";"";"";"14000";"";"2";""
"";"Fuclo 500mg cp";"";"";"";"";"";"77000";"";"2";""
"";"Forcan cp 150mg";"";"";"";"";"";"14000";"";"3";""
"";"Fumafer cp";"";"";"";"";"";"66000";"";"1";""
"";"Fluvermal cp";"";"";"";"";"";"53000";"";"4";""
"";"Fortaline plus cp";"";"";"";"";"";"0";"";"0";""
"";"flexdol cp";"";"";"";"";"";"35000";"";"3";""
"";"Fizaclav 1g cp";"";"";"";"";"";"127000";"";"1";""
"";"Decontractyl cp";"";"";"";"";"";"0";"";"0";""
"";"Jafazot 20g";"";"";"";"";"";"0";"";"0";""
"";"Clomigene 50 cp";"";"";"";"";"";"70000";"";"2";""
"";"Difrarel E 100 mg";"";"";"";"";"";"0";"";"0";""
"";"Digoxine";"";"";"";"";"";"0";"";"0";""
"";"Esopra 20";"";"";"";"";"";"0";"";"0";""
"";"Esopra 40";"";"";"";"";"";"92000";"";"2";""
"";"Esomecra 40";"";"";"";"";"";"98000";"";"1";""
"";"Cotipred cp";"";"";"";"";"";"74000";"";"3";""
"";"Calgen D3 cp";"";"";"";"";"";"58000";"";"4";""
"";"Caprazol 20mg";"";"";"";"";"";"33000";"";"1";""
"";"Ciprocare 500 cp";"";"";"";"";"";"0";"";"0";""
"";"Clomigene 50 cp";"";"";"";"";"";"70000";"";"2";""
"";"Clorifains cp";"";"";"";"";"";"20000";"";"1";""
"";"Cotipred 20mg cp";"";"";"";"";"";"0";"";"0";""
"";"Défale 30mg";"";"";"";"";"";"139000";"";"2";""
"";"Défale 6mg cp";"";"";"";"";"";"67000";"";"1";""
"";"Bestatene cp";"";"";"";"";"";"56000";"";"3";""
"";"Diamicron 60 mg B/30";"";"";"";"";"";"230000";"";"3";""
"";"Diamicron 60 mg B/150";"";"";"";"";"";"81000";"";"8";""
"";"Diaryl Gel";"";"";"";"";"";"38000";"";"2";""
"";"Dolex 50 cp";"";"";"";"";"";"0";"";"0";""
"";"Efferalgan Codeine sec";"";"";"";"";"";"33000";"";"11";""
"";"Esopra 40 mg";"";"";"";"";"";"96000";"";"2";""
"";"Escodyne Eff";"";"";"";"";"";"0";"";"0";""
"";"Febstat 40 mg";"";"";"";"";"";"116000";"";"1";""
"";"Escodyne Cp";"";"";"";"";"";"45000";"";"1";""
"";"Fructines cp";"";"";"";"";"";"46000";"";"3";""
"";"Fluoxine 500";"";"";"";"";"";"0";"";"0";""
"";"Fluoxine T";"";"";"";"";"";"47000";"";"1";""
"";"Fluoxine 750";"";"";"";"";"";"0";"";"0";""
"";"Ery 500 B/20";"";"";"";"";"";"86000";"";"1";""
"";"Femigeston 300 mg";"";"";"";"";"";"129000";"";"1";""
"";"Flexpro extra";"";"";"";"";"";"58000";"";"2";""
"";"Clomilen 50 mg";"";"";"";"";"";"36000";"";"1";""
"";"Enteroscime 400 mg";"";"";"";"";"";"84000";"";"3";""
