Code;Nom;DCI;Marque;Categorie;Forme;Prix Vente;Prix Achat;Ordonnance;Quantite;Peremption
;Siantaler pde;;;;;;22000;;2;
;Ceftriax 1g boi;;;;;;69000;;6;
;Mycoster spray;;;;;;;;0;
;Niflugel pde;;;;;;38000;;2;
;Oxyplastine pde;;;;;;;;0;
;Phenergan pde;;;;;;35000;;1;
;Positon pde;;;;;;52000;;1;
;Positon cre;;;;;;50000;;1;
;Procomil cre;;;;;;50000;;2;
;PKG cre;;;;;;;;0;
;Pevagin cre;;;;;;47000;;2;
;Titanoreine cre;;;;;;114000;;3;
;Trecopex pde;;;;;;35000;;5;
;Triafene gel;;;;;;17000;;3;
;Vendome gel;;;;;;;;0;
;Volini gel;;;;;;;;0;
;Vovgel gel;;;;;;29000;;2;
;Voltaren Emulgel;;;;;;36000;;3;
;Vegebom secours 50g gel;;;;;;;;0;
;Vegebom secours 100g gel;;;;;;97000;;1;
;Vegebom Tonifiant gel;;;;;;71000;;3;
;Warimazol cre;;;;;;;;0;
;Sparadrap 5m*18cm;;;;;;12000;;2;
;Bande crepe 4cm*5m;;;;;;;;0;
;Bande crepe 4cm*7m;;;;;;;;0;
;Bande crepe 4cm*10m;;;;;;;;0;
;Bande crepe 4cm*15m;;;;;;;;0;
;Bande crepe 4cm*20m;;;;;;;;0;
;Tretienex;;;;;;41000;;3;
;Test Bande Pregnancy;;;;;;5000;;50;
;Hemafer inj;;;;;;27700;;2;
;Gynopen inj;;;;;;10000;;13;
;Repral inj;;;;;;25000;;17;
;gluconate de calcium;;;;;;12000;;6;
;Lyocef plus;;;;;;38000;;11;
;Tergynan ov B/10;;;;;;56000;;3;
;Bande Nylex 10 cm x 4 m;;;;;;10000;;17;
;Daktarin gel;;;;;;98000;;19;
;Adna Bain de Bouche;;;;;;45000;;3;
;Gumforte gel;;;;;;23000;;1;
;Lofnac pde;;;;;;29000;;3;
;Micocare gel;;;;;;31000;;1;
;Mycoster;;;;;;;;0;
;Tess;;;;;;45000;;3;
;Trizole gel;;;;;;47000;;1;
;Venosmil pde;;;;;;47000;;1;
;Tensoplast 6 cm;;;;;;;;0;
;Tensoplast 8 cm;;;;;;68000;;2;
;Tensoplast 10 cm;;;;;;86000;;1;
;Mixtard 30;;;;;;57000;;7;
;Insulatard;;;;;;84000;;8;
;Actrapid;;;;;;77000;;6;
;Lacoma Cy;;;;;;;;0;
;Lacoma T;;;;;;197000;;2;
;Oxytroy inj;;;;;;28000;;4;
;Philco Cipro 100 B/10;;;;;;25000;;10;
;Colpotrophine;;;;;;99000;;1;
;Gluconate de ca+;;;;;;;;0;
;Naturex Vaporub;;;;;;41000;;1;
