"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN1271","Efferalgan Codeine sec","","","Autre","Comprime","33000","0","Non","11"
"PN1272","Esopra 40 mg","","","Autre","Comprime","96000","0","Non","2"
"PN1273","Escodyne Eff","","","Autre","Comprime","0","0","Non","0"
"PN1274","Febstat 40 mg","","","Autre","Comprime","116000","0","Non","1"
"PN1275","Escodyne Cp","","","Autre","Comprime","45000","0","Non","1"
"PN1276","Fructines cp","","","Autre","Comprime","46000","0","Non","3"
"PN1277","Fluoxine 500","","","Autre","Comprime","0","0","Non","0"
"PN1278","Fluoxine T","","","Autre","Comprime","47000","0","Non","1"
"PN1279","Fluoxine 750","","","Autre","Comprime","0","0","Non","0"
"PN1280","Ery 500 B/20","","","Autre","Comprime","86000","0","Non","1"
"PN1281","Femigeston 300 mg","","","Autre","Comprime","129000","0","Non","1"
"PN1282","Flexpro extra","","","Autre","Comprime","58000","0","Non","2"
"PN1283","Clomilen 50 mg","","","Autre","Comprime","36000","0","Non","1"
"PN1284","Enteroscime 400 mg","","","Autre","Comprime","84000","0","Non","3"
