Code;Nom;DCI;Marque;Categorie;Forme;Prix Vente;Prix Achat;Ordonnance;Quantite;Peremption
;Philco Quinine 300mg cp;;;;;;12000;;64;
;Philco Cimo cp;;;;;;12000;;20;
;Philco Metro 250mg cp;;;;;;2000;;138;
;Philco Para 500mg cp;;;;;;2000;;144;
;Philco Diclo 50mg cp;;;;;;2000;;88;
;Philco Ibu 400mg;;;;;;4000;;133;
;Perfuseur;;;;;;5000;;324;
;Seringue 10 cc;;;;;;2000;;142;
;Seringue 5 cc;;;;;;1500;;297;
;Epicranienne;;;;;;1500;;312;
;Solvant;;;;;;2000;;247;
;Test HCG Bandelette ubitest;;;;;;7000;;90;
;Calgin inj 500mg;;;;;;5000;;49;
;Restriva 500mg inj;;;;;;12000;;18;
;Vitamine C inj;;;;;;5000;;424;
;Vitamine B complexe inj;;;;;;5000;;333;
;Metoclopramid inj;;;;;;2000;;196;
;Serum ringer Lactate perf;;;;;;15000;;9;
;Serum glucose perf;;;;;;15000;;19;
;Serum salé perf;;;;;;15000;;42;
;Apotel max perf;;;;;;35000;;7;
;Ibuprofene Denk 400;;;;;;19000;;1;
;Manitol perf;;;;;;0;;0;
;Gelofusine 80;;;;;;85000;;1;
;Philco Cimo inj;;;;;;500;;86;
;Philco Benza inj;;;;;;7000;;20;
;Philco Quinine inj;;;;;;5000;;67;
;Philco Dexa inj;;;;;;3000;;143;
;Philco Genta inj;;;;;;1500;;87;
;Philco Meta inj;;;;;;3500;;178;
;Philco Kana inj;;;;;;5000;;52;
;Philco Ampi inj;;;;;;5000;;55;
;A-cerume unidose;;;;;;36000;;2;
;Dolol 500 Eff;;;;;;4000;;54;
;Carteol LP 1% cy;;;;;;124000;;1;
;Flixonase cy;;;;;;97000;;1;
;Fluca cy;;;;;;70000;;1;
;Ioprost cy;;;;;;226000;;1;
;Indocollyre cy;;;;;;57000;;14;
;Naso GH spray pedia;;;;;;16000;;1;
;Dacryoserum;;;;;;56000;;2;
;Rapidex enf spray;;;;;;20000;;3;
;Rapidex Ad spray;;;;;;20000;;1;
;Tobradex cy;;;;;;58000;;2;
;Fludol gelule 100;;;;;;10000;;63;
;Surdex cp;;;;;;15000;;17;
;Vitamine B complexe cp;;;;;;2000;;336;
;Philco Multivitamine cp;;;;;;17000;;2;
;Rhinicold cp;;;;;;6000;;7;
;Galocid 40 cp;;;;;;6000;;22;
;Tetracycline creat cp;;;;;;12000;;12;
;Philco nitro perf;;;;;;20000;;10;
;Philco cipro perf;;;;;;20000;;11;
;Philco Para perf;;;;;;30000;;4;
;Test HCG Cassette;;;;;;10000;;122;
;Paragin inj;;;;;;8000;;4;
;Litacold spray;;;;;;70000;;1;
;Gentasol;;;;;;20000;;12;
