"Code,""Nom"",""DCI"",""Marque"",""Categorie"",""Forme"",""Prix Vente"",""Prix Achat"",""Rx"",""Quantite"""
"PN0401,""Oflocet 200mg cp"","""","""",""Autre"",""Comprime"",""104000"",""0"",""Non"",""3"""
"PN0402,""Oflomac 200mg cp"","""","""",""Autre"",""Comprime"",""60000"",""0"",""Non"",""1"""
"PN0403,""Oflomac 400mg cp"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""1"""
"PN0404,""Oflor cp"","""","""",""Autre"",""Comprime"",""81000"",""0"",""Non"",""3"""
"PN0405,""Omeprazol BGR B/14 cp"","""","""",""Autre"",""Comprime"",""54000"",""0"",""Non"",""3"""
"PN0406,""Omeprazol BGR B/28 cp"","""","""",""Autre"",""Comprime"",""80000"",""0"",""Non"",""2"""
"PN0407,""Oroperydis cp"","""","""",""Autre"",""Comprime"",""35000"",""0"",""Non"",""4"""
"PN0408,""Oedes B/14 cp"","""","""",""Autre"",""Comprime"",""66000"",""0"",""Non"",""2"""
"PN0409,""Oedes B/28 cp"","""","""",""Autre"",""Comprime"",""118000"",""0"",""Non"",""1"""
"PN0410,""Ospen 1M.U.I cp"","""","""",""Autre"",""Comprime"",""49000"",""0"",""Non"",""7"""
"PN0411,""Oramid cp"","""","""",""Autre"",""Comprime"",""74000"",""0"",""Non"",""6"""
"PN0412,""Ospamox 500mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0413,""Ospamox 1g cp"","""","""",""Autre"",""Comprime"",""55000"",""0"",""Non"",""2"""
"PN0414,""Oxyboldine cp"","""","""",""Autre"",""Comprime"",""45000"",""0"",""Non"",""3"""
"PN0415,""Ocuguard cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1248,""Oziben 100mg cp B/6"","""","""",""Autre"",""Comprime"",""22000"",""0"",""Non"",""4"""
"PN1249,""Oziben 500mg cp B/1"","""","""",""Autre"",""Comprime"",""21000"",""0"",""Non"",""7"""
"PN0418,""Palumil Adulte cp"","""","""",""Autre"",""Comprime"",""56000"",""0"",""Non"",""2"""
"PN0419,""Palucure 20/120 cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0420,""Palacure 40/240 cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0421,""Papofer cp"","""","""",""Autre"",""Comprime"",""51000"",""0"",""Non"",""2"""
"PN0422,""Prazol B/14 cp"","""","""",""Autre"",""Comprime"",""68000"",""0"",""Non"",""1"""
"PN0423,""Prazol B/28 cp"","""","""",""Autre"",""Comprime"",""104000"",""0"",""Non"",""1"""
"PN0424,""Panto Denk 20mg cp"","""","""",""Autre"",""Comprime"",""104000"",""0"",""Non"",""3"""
"PN0425,""Panto Denk 40mg cp"","""","""",""Autre"",""Comprime"",""150000"",""0"",""Non"",""2"""
"PN0426,""Panadol Advance cp"","""","""",""Autre"",""Comprime"",""17000"",""0"",""Non"",""11"""
"PN0427,""Panadol Extra cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0428,""Panalgic cp"","""","""",""Autre"",""Comprime"",""22000"",""0"",""Non"",""1"""
"PN0429,""Caplin Painex B/10mg cp"","""","""",""Autre"",""Comprime"",""18000"",""0"",""Non"",""3"""
"PN0430,""Caplin Painex B/30mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0431,""Paraco Denk cp"","""","""",""Autre"",""Comprime"",""35000"",""0"",""Non"",""6"""
"PN1250,""panadex cp"","""","""",""Autre"",""Comprime"",""47000"",""0"",""Non"",""4"""
"PN0433,""Pill 72 cp"","""","""",""Autre"",""Comprime"",""42000"",""0"",""Non"",""5"""
"PN0434,""Perispasm cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0435,""Phenergan cp"","""","""",""Autre"",""Comprime"",""17000"",""0"",""Non"",""20"""
"PN0436,""Preventacare F cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0437,""Plencoxib 200mg cp"","""","""",""Autre"",""Comprime"",""92000"",""0"",""Non"",""1"""
"PN0438,""Predni 20mg cp"","""","""",""Autre"",""Comprime"",""56000"",""0"",""Non"",""6"""
"PN0439,""Prenatal Denk cp"","""","""",""Autre"",""Comprime"",""76000"",""0"",""Non"",""1"""
"PN0440,""Prenatal + DHA cp"","""","""",""Autre"",""Comprime"",""140000"",""0"",""Non"",""1"""
"PN1251,""Princi B fort cp"","""","""",""Autre"",""Comprime"",""92000"",""0"",""Non"",""2"""
"PN0442,""Profiz forte cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0443,""Primalan 10mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0444,""Primalan 5mg cp"","""","""",""Autre"",""Comprime"",""52000"",""0"",""Non"",""3"""
"PN0445,""Plufentrine 80mg cp"","""","""",""Autre"",""Comprime"",""44000"",""0"",""Non"",""2"""
"PN1252,""Profenid 50mg"","""","""",""Autre"",""Comprime"",""37000"",""0"",""Non"",""1"""
"PN0447,""Protec pill cp"","""","""",""Autre"",""Comprime"",""35000"",""0"",""Non"",""4"""
"PN0448,""Propofan cp"","""","""",""Autre"",""Comprime"",""44000"",""0"",""Non"",""2"""
"PN0449,""Profenol cp"","""","""",""Autre"",""Comprime"",""30000"",""0"",""Non"",""1"""
"PN0450,""Prokefen 100 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0451,""Quinex 300mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1253,""Neurogab 150"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1254,""potenid 100mg"","""","""",""Autre"",""Comprime"",""68000"",""0"",""Non"",""1"""
"PN1255,""plasmoar 20/120"","""","""",""Autre"",""Comprime"",""27000"",""0"",""Non"",""2"""
"PN1256,""plasmoar 80/640 B1"","""","""",""Autre"",""Comprime"",""74000"",""0"",""Non"",""1"""
"PN1257,""plasmoar 80/640 B6"","""","""",""Autre"",""Comprime"",""62000"",""0"",""Non"",""2"""
"PN1258,""plasmoar 40/320"","""","""",""Autre"",""Comprime"",""41000"",""0"",""Non"",""1"""
"PN1054,""Nasonex 120 spray"","""","""",""Autre"",""Comprime"",""202000"",""0"",""Non"",""1"""
"PN1055,""Naaxia cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1056,""Mydriaticum cy"","""","""",""Autre"",""Comprime"",""34000"",""0"",""Non"",""1"""
